Title,Genre,Second_Genre,Release_Year,Budget_Category,Revenue_Category,Runtime_Category,Rating_Category,Vote_Count_Category,Popularity_Category,Language,Production_Country,Main_Actor,Director
Anonymous,Drama,History,2011.0,Medium,Low,Medium,Medium,Low,Medium,en,United Kingdom,Jamie Campbell Bower,Roland Emmerich
The NeverEnding Story,Drama,Family,1984.0,Medium,Low,Medium,High,Medium,High,en,Germany,Barret Oliver,Wolfgang Petersen
Dark City,Mystery,Science Fiction,1998.0,Medium,Low,Medium,High,Medium,High,en,Australia,Rufus Sewell,Alex Proyas
The Duchess,Drama,History,2008.0,Low,Low,Medium,Medium,Low,Medium,en,United Kingdom,Keira Knightley,Saul Dibb
Return to Oz,Adventure,Family,1985.0,Medium,Low,Medium,Medium,Low,Low,en,United Kingdom,Fairuza Balk,Walter Murch
The Newton Boys,Crime,Action,1998.0,Medium,Medium,Medium,Medium,Low,Low,en,United States of America,Matthew McConaughey,Richard Linklater
Case 39,Horror,Mystery,2009.0,Medium,Low,Medium,Medium,Medium,Medium,en,Canada,Renée Zellweger,Christian Alvart
Suspect Zero,Crime,Thriller,2004.0,Medium,Low,Medium,Medium,Low,Low,en,Germany,Carrie-Anne Moss,E. Elias Merhige
Spy Kids: All the Time in the World,Family,Comedy,2011.0,Medium,Medium,Short,Low,Low,Medium,en,United States of America,Jessica Alba,Robert Rodriguez
The 51st State,Thriller,Action,2001.0,Low,Low,Medium,Medium,Low,Low,en,Canada,Samuel L. Jackson,Ronny Yu
Flawless,Comedy,Drama,1999.0,Low,Low,Medium,Medium,Low,Low,en,United States of America,Robert De Niro,Joel Schumacher
Mindhunters,Mystery,Thriller,2004.0,Medium,Low,Medium,Medium,Low,Medium,en,Finland,LL Cool J,Renny Harlin
What Just Happened,Comedy,Drama,2008.0,Medium,Low,Medium,Medium,Low,Low,en,United States of America,Bruce Willis,Barry Levinson
The Statement,Drama,Thriller,2003.0,Low,Low,Medium,Medium,Low,Low,en,France,Michael Caine,Norman Jewison
The Magic Flute,Comedy,Drama,2006.0,Low,Low,Medium,Medium,Low,Low,en,United Kingdom,Joseph Kaiser,Kenneth Branagh
Paul Blart: Mall Cop,Action,Adventure,2009.0,Medium,Medium,Medium,Medium,Medium,High,en,United States of America,Kevin James,Steve Carr
The 40 Year Old Virgin,Comedy,Romance,2005.0,Medium,Medium,Medium,Medium,Medium,High,en,United States of America,Steve Carell,Judd Apatow
Shakespeare in Love,Romance,History,1998.0,Medium,Medium,Medium,Medium,Medium,High,en,United States of America,Joseph Fiennes,John Madden
A Walk Among the Tombstones,Crime,Drama,2014.0,Medium,Medium,Medium,Medium,Medium,High,en,United States of America,Liam Neeson,Scott Frank
Pineapple Express,Action,Comedy,2008.0,Medium,Medium,Medium,Medium,Medium,High,en,United States of America,Seth Rogen,David Gordon Green
Ever After: A Cinderella Story,Drama,Romance,1998.0,Medium,Medium,Medium,Medium,Low,Medium,en,United States of America,Drew Barrymore,Andy Tennant
Flatliners,Drama,Horror,1990.0,Medium,Medium,Medium,Medium,Low,Medium,en,United States of America,Kiefer Sutherland,Joel Schumacher
A Bridge Too Far,Drama,History,1977.0,Medium,Medium,Long,Medium,Low,Medium,en,United Kingdom,Dirk Bogarde,Richard Attenborough
Red Eye,Horror,Thriller,2005.0,Medium,Medium,Short,Medium,Low,Low,en,United States of America,Rachel McAdams,Wes Craven
Final Destination 2,Horror,Mystery,2003.0,Medium,Medium,Medium,Medium,Medium,High,en,United States of America,Ali Larter,David R. Ellis
"O Brother, Where Art Thou?",Action,Adventure,2000.0,Medium,Medium,Medium,High,Medium,High,en,France,George Clooney,Joel Coen
Pain & Gain,Thriller,Crime,2013.0,Medium,Medium,Medium,Medium,Medium,High,en,United States of America,Mark Wahlberg,Michael Bay
In Good Company,Comedy,Drama,2004.0,Low,Low,Medium,Medium,Low,Medium,en,United States of America,Topher Grace,Paul Weitz
Clockstoppers,Adventure,Family,2002.0,Medium,Low,Medium,Low,Low,Low,en,United States of America,Jesse Bradford,Jonathan Frakes
Silverado,Action,Crime,1985.0,Medium,Low,Medium,High,Low,Medium,en,United States of America,Kevin Kline,Lawrence Kasdan
Brothers,Drama,Thriller,2009.0,Medium,Low,Medium,Medium,Medium,Medium,en,United States of America,Tobey Maguire,Jim Sheridan
New Year's Eve,Comedy,Romance,2011.0,Medium,Medium,Medium,Medium,Medium,Medium,en,United States of America,Robert De Niro,Garry Marshall
Original Sin,Drama,Thriller,2001.0,Medium,Low,Medium,Medium,Low,Medium,en,France,Angelina Jolie,Michael Cristofer
The Raven,Crime,Thriller,2012.0,Medium,Low,Medium,Medium,Low,Medium,en,Hungary,John Cusack,James McTeigue
Highlander: The Final Dimension,Action,Fantasy,1994.0,Medium,Low,Medium,Low,Low,Low,en,Canada,Christopher Lambert,Andrew Morahan
Blood and Wine,Crime,Drama,1996.0,Medium,Low,Medium,Medium,Low,Low,en,United Kingdom,Jack Nicholson,Bob Rafelson
Snow White: A Tale of Terror,Fantasy,Horror,1997.0,Medium,Low,Medium,Medium,Low,Low,en,United States of America,Sigourney Weaver,Michael Cohn
The Curse of the Jade Scorpion,Comedy,Crime,2001.0,Low,Low,Medium,Medium,Low,Low,en,Germany,Dan Aykroyd,Woody Allen
Accidental Love,Romance,Comedy,2015.0,Medium,Low,Medium,Low,Low,Low,en,United States of America,Jake Gyllenhaal,David O. Russell
Flipper,Adventure,Family,1996.0,Medium,Low,Medium,Medium,Low,Low,en,United States of America,Elijah Wood,Alan Shapiro
Self/less,Science Fiction,Mystery,2015.0,Medium,Low,Medium,Medium,Medium,High,en,United States of America,Ryan Reynolds,Tarsem Singh
The Constant Gardener,Drama,Mystery,2005.0,Medium,Medium,Medium,Medium,Low,Medium,en,China,Ralph Fiennes,Fernando Meirelles
Mrs. Doubtfire,Comedy,Drama,1993.0,Medium,High,Medium,High,Medium,High,en,United States of America,Robin Williams,Chris Columbus
W.,Drama,History,2008.0,Medium,Low,Medium,Medium,Low,Medium,en,United States of America,Josh Brolin,Oliver Stone
Taken,Action,Thriller,2008.0,Medium,Medium,Medium,High,High,High,en,France,Liam Neeson,Pierre Morel
The Best of Me,Drama,Romance,2014.0,Medium,Low,Medium,High,Medium,High,en,United States of America,Michelle Monaghan,Michael Hoffman
The Bodyguard,Thriller,Action,1992.0,Medium,High,Medium,Medium,Medium,Medium,en,United States of America,Whitney Houston,Mick Jackson
Schindler's List,Drama,History,1993.0,Medium,High,Long,High,High,High,en,United States of America,Liam Neeson,Steven Spielberg
The Fifth Estate,Drama,Thriller,2013.0,Medium,Low,Medium,Medium,Low,Medium,en,Belgium,Benedict Cumberbatch,Bill Condon
Scooby-Doo 2: Monsters Unleashed,Mystery,Fantasy,2004.0,Low,Medium,Medium,Medium,Medium,Medium,en,United States of America,Freddie Prinze Jr.,Raja Gosnell
Forbidden Kingdom,Thriller,Adventure,2014.0,Medium,Low,Medium,Low,Low,Low,ru,Czech Republic,Jason Flemyng,Oleg Stepchenko
The Face of an Angel,Thriller,Drama,2014.0,Low,Low,Medium,Low,Low,Low,en,Italy,Kate Beckinsale,Michael Winterbottom
Jimmy Neutron: Boy Genius,Action,Adventure,2001.0,Medium,Medium,Short,Medium,Low,Medium,en,United States of America,Debi Derryberry,John A. Davis
Cloverfield,Action,Thriller,2008.0,Medium,Medium,Short,Medium,High,High,en,United States of America,Lizzy Caplan,Matt Reeves
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Science Fiction,Adventure,1991.0,Medium,Medium,Short,Medium,Low,Medium,en,Hong Kong,Paige Turco,Michael Pressman
The Untouchables,Crime,Drama,1987.0,Medium,Medium,Medium,High,Medium,High,en,United States of America,Kevin Costner,Brian De Palma
No Country for Old Men,Crime,Drama,2007.0,Medium,Medium,Medium,High,High,High,en,United States of America,Tommy Lee Jones,Joel Coen
Ride Along,Action,Comedy,2014.0,Medium,Medium,Medium,Medium,Medium,Medium,en,United States of America,Ice Cube,Tim Story
Bridget Jones's Diary,Comedy,Romance,2001.0,Medium,Medium,Medium,Medium,Medium,High,en,France,Renée Zellweger,Sharon Maguire
Chocolat,Comedy,Drama,2000.0,Medium,Medium,Medium,Medium,Medium,Medium,en,United Kingdom,Juliette Binoche,Lasse Hallström
No Strings Attached,Comedy,Romance,2011.0,Medium,Medium,Medium,Medium,Medium,High,en,United States of America,Natalie Portman,Ivan Reitman
Tombstone,Action,Adventure,1993.0,Medium,Medium,Medium,High,Medium,High,en,United States of America,Kurt Russell,George P. Cosmatos
Romeo Must Die,Action,Crime,2000.0,Medium,Medium,Medium,Medium,Low,Medium,en,United States of America,Jet Li,Andrzej Bartkowiak
The Omen,Horror,Thriller,1976.0,Low,Medium,Medium,High,Low,Medium,en,United Kingdom,Gregory Peck,Richard Donner
Final Destination 3,Horror,Mystery,2006.0,Medium,Medium,Medium,Medium,Medium,High,en,Canada,Mary Elizabeth Winstead,James Wong
The Lucky One,Drama,Romance,2012.0,Medium,Medium,Medium,Medium,Medium,Medium,en,United States of America,Zac Efron,Scott Hicks
Bridge to Terabithia,Adventure,Drama,2007.0,Medium,Medium,Medium,High,Medium,High,en,United States of America,Josh Hutcherson,Gábor Csupó
A Madea Christmas,Comedy,Drama,2013.0,Low,Low,Medium,High,Low,Low,en,United States of America,Tyler Perry,Tyler Perry
The Grey,Action,Drama,2012.0,Medium,Medium,Medium,Medium,Medium,High,en,Canada,Liam Neeson,Joe Carnahan
Hide and Seek,Horror,Mystery,2005.0,Medium,Medium,Medium,Medium,Low,Medium,en,United States of America,Robert De Niro,John Polson
GoodFellas,Drama,Crime,1990.0,Medium,Low,Long,High,High,High,en,United States of America,Robert De Niro,Martin Scorsese
Nanny McPhee,Fantasy,Comedy,2005.0,Medium,Medium,Medium,Medium,Medium,Medium,en,France,Emma Thompson,Kirk Jones
Scarface,Action,Crime,1983.0,Medium,Medium,Long,High,High,High,en,United States of America,Al Pacino,Brian De Palma
Nothing to Lose,Action,Adventure,1997.0,Medium,Low,Medium,Medium,Low,Low,en,United States of America,Tim Robbins,Steve Oedekerk
The Last Emperor,Drama,History,1987.0,Medium,Low,Long,High,Low,Medium,en,France,John Lone,Bernardo Bertolucci
Contraband,Thriller,Action,2012.0,Medium,Medium,Medium,Medium,Medium,High,en,United States of America,Mark Wahlberg,Baltasar Kormákur
Money Talks,Action,Adventure,1997.0,Low,Low,Medium,Medium,Low,Low,en,United States of America,Chris Tucker,Brett Ratner
The Wild Thornberrys Movie,Animation,Adventure,2002.0,Medium,Low,Short,Medium,Low,Low,en,United States of America,Lacey Chabert,Cathy Malkasian
Rugrats Go Wild,Animation,Family,2003.0,Low,Low,Short,Medium,Low,Low,en,United States of America,E.G. Daily,Norton Virgien
Undercover Brother,Action,Comedy,2002.0,Medium,Low,Short,Medium,Low,Low,en,United States of America,Eddie Griffin,Malcolm D. Lee
The Sisterhood of the Traveling Pants,Drama,Comedy,2005.0,Medium,Low,Medium,Medium,Low,Medium,en,United States of America,Amber Tamblyn,Ken Kwapis
Kiss of the Dragon,Action,Crime,2001.0,Medium,Medium,Medium,Medium,Low,Medium,en,France,Jet Li,Chris Nahon
The House Bunny,Romance,Comedy,2008.0,Medium,Medium,Medium,Medium,Medium,Medium,en,United States of America,Anna Faris,Fred Wolf
Beauty Shop,Comedy,Romance,2005.0,Medium,Low,Medium,Medium,Low,Low,en,United States of America,Queen Latifah,Bille Woodruff
The Giver,Drama,Science Fiction,2014.0,Medium,Medium,Medium,Medium,Medium,High,en,United States of America,Jeff Bridges,Phillip Noyce
Jeepers Creepers 2,Horror,Thriller,2003.0,Medium,Medium,Medium,Medium,Low,Medium,en,United States of America,Ray Wise,Victor Salva
Good Luck Chuck,Comedy,Drama,2007.0,Medium,Medium,Medium,Medium,Low,Medium,en,Canada,Dane Cook,Mark Helfrich
Cradle 2 the Grave,Action,Crime,2003.0,Medium,Medium,Medium,Medium,Low,Medium,en,United States of America,Jet Li,Andrzej Bartkowiak
She's the Man,Comedy,Drama,2006.0,Medium,Low,Medium,Medium,Medium,Medium,en,United States of America,Amanda Bynes,Andy Fickman
Mr. Bean's Holiday,Family,Comedy,2007.0,Medium,Medium,Medium,Medium,Medium,Medium,en,United Kingdom,Rowan Atkinson,Steve Bendelack
Anacondas: The Hunt for the Blood Orchid,Adventure,Action,2004.0,Medium,Medium,Medium,Low,Low,Low,en,United States of America,Johnny Messner,Dwight H. Little
Blood Ties,Thriller,Crime,2013.0,Medium,Low,Medium,Medium,Low,Medium,en,France,Clive Owen,Guillaume Canet
Elizabeth,Drama,History,1998.0,Medium,Medium,Medium,High,Low,Medium,en,United States of America,Cate Blanchett,Shekhar Kapur
Bride of Chucky,Horror,Comedy,1998.0,Medium,Medium,Short,Medium,Low,Medium,en,Canada,Ed Gale,Ronny Yu
Tora! Tora! Tora!,History,Action,1970.0,Medium,Low,Long,Medium,Low,Low,en,Japan,Martin Balsam,Richard Fleischer
Spice World,Adventure,Fantasy,1997.0,Medium,Medium,Medium,Low,Low,Low,en,United Kingdom,Victoria Beckham,Bob Spiers
Dance Flick,Action,Comedy,2009.0,Low,Low,Short,Low,Low,Low,en,United States of America,Shoshana Bush,Damien Dante Wayans
The Shawshank Redemption,Drama,Crime,1994.0,Medium,Low,Long,High,High,High,en,United States of America,Tim Robbins,Frank Darabont
Crocodile Dundee in Los Angeles,Adventure,Comedy,2001.0,Medium,Low,Medium,Low,Low,Low,en,Australia,Paul Hogan,Simon Wincer
The Gambler,Thriller,Crime,2014.0,Medium,Low,Medium,Medium,Medium,Medium,en,United States of America,Mark Wahlberg,Rupert Wyatt
August: Osage County,Comedy,Drama,2013.0,Medium,Medium,Medium,Medium,Low,Medium,en,United States of America,Meryl Streep,John Wells
Ice Princess,Drama,Comedy,2005.0,Medium,Low,Medium,Medium,Low,Medium,en,United States of America,Michelle Trachtenberg,Tim Fywell
Eddie the Eagle,Comedy,Drama,2016.0,Medium,Low,Medium,High,Medium,Medium,en,Germany,Taron Egerton,Dexter Fletcher
Don Juan DeMarco,Romance,Drama,1994.0,Medium,Low,Medium,Medium,Low,Low,en,United States of America,Johnny Depp,Jeremy Leven
Dear John,Drama,Romance,2010.0,Medium,Medium,Medium,Medium,Medium,Medium,en,United States of America,Amanda Seyfried,Lasse Hallström
The Losers,Action,Adventure,2010.0,Medium,Low,Medium,Medium,Medium,Medium,en,United States of America,Jeffrey Dean Morgan,Sylvain White
Don't Be Afraid of the Dark,Fantasy,Horror,2010.0,Medium,Low,Medium,Medium,Low,Medium,en,United States of America,Katie Holmes,Troy Nixey
War,Action,Thriller,2007.0,Medium,Low,Medium,Medium,Low,Medium,en,United States of America,Jet Li,Philip G. Atwell
Punch-Drunk Love,Comedy,Drama,2002.0,Medium,Low,Medium,Medium,Medium,Medium,en,United States of America,Adam Sandler,Paul Thomas Anderson
Half Past Dead,Crime,Action,2002.0,Medium,Low,Medium,Low,Low,Low,en,Germany,Steven Seagal,Don Michael Paul
The Adventures of Pinocchio,Animation,Family,1996.0,Low,Low,Medium,Medium,Low,Low,en,Czech Republic,Martin Landau,Steve Barron
The Greatest Game Ever Played,Drama,Family,2005.0,Medium,Low,Medium,Medium,Low,Low,en,United States of America,Shia LaBeouf,Bill Paxton
The Box,Thriller,Science Fiction,2009.0,Medium,Low,Medium,Medium,Medium,Medium,en,United States of America,Cameron Diaz,Richard Kelly
The Ruins,Drama,Horror,2008.0,Low,Low,Medium,Medium,Low,Medium,en,United States of America,Shawn Ashmore,Carter Smith
My Soul to Take,Drama,Horror,2010.0,Medium,Low,Medium,Medium,Low,Low,en,United States of America,Max Thieriot,Wes Craven
Maximum Risk,Action,Adventure,1996.0,Medium,Medium,Medium,Medium,Low,Medium,en,United States of America,Jean-Claude Van Damme,Ringo Lam
Stealing Harvard,Action,Comedy,2002.0,Low,Low,Short,Low,Low,Low,en,United States of America,Jason Lee,Bruce McCulloch
Legend,Crime,Thriller,2015.0,Medium,Low,Medium,Medium,Medium,High,en,United Kingdom,Tom Hardy,Brian Helgeland
Hot Rod,Action,Comedy,2007.0,Low,Low,Short,Medium,Low,Low,en,United States of America,Andy Samberg,Akiva Schaffer
Shark Night,Horror,Thriller,2011.0,Medium,Low,Medium,Low,Low,Low,en,United States of America,Sara Paxton,David R. Ellis
Lifeforce,Fantasy,Horror,1985.0,Medium,Low,Medium,Medium,Low,Medium,en,United Kingdom,Steve Railsback,Tobe Hooper
The Conspirator,Crime,Drama,2010.0,Medium,Low,Medium,Medium,Low,Low,en,United States of America,Evan Rachel Wood,Robert Redford
The 33,Drama,History,2015.0,Medium,Low,Medium,Medium,Low,Medium,en,United States of America,Antonio Banderas,Patricia Riggen
Big Trouble in Little China,Action,Adventure,1986.0,Medium,Low,Medium,High,Medium,Medium,en,United States of America,Kurt Russell,John Carpenter
Fly Me to the Moon,Comedy,Romance,2012.0,Low,Low,Medium,Medium,Low,Medium,fr,France,Diane Kruger,Pascal Chaumeil
Warrior,Action,Drama,2011.0,Medium,Low,Long,High,Medium,High,en,United States of America,Tom Hardy,Gavin O'Connor
Michael Collins,Drama,Thriller,1996.0,Medium,Low,Medium,Medium,Low,Low,en,Ireland,Liam Neeson,Neil Jordan
Gettysburg,War,Drama,1993.0,Low,Low,Long,Medium,Low,Low,en,United States of America,Jeff Daniels,Ronald F. Maxwell
Stop-Loss,Drama,War,2008.0,Medium,Low,Medium,Medium,Low,Low,en,United States of America,Ryan Phillippe,Kimberly Peirce
Abandon,Drama,Mystery,2002.0,Medium,Low,Medium,Low,Low,Low,en,Australia,Katie Holmes,Stephen Gaghan
Brokedown Palace,Drama,Thriller,1999.0,Medium,Low,Medium,Medium,Low,Low,en,United States of America,Claire Danes,Jonathan Kaplan
The Possession,Horror,Thriller,2012.0,Medium,Medium,Medium,Medium,Low,Medium,en,United States of America,Jeffrey Dean Morgan,Ole Bornedal
Mrs. Winterbourne,Comedy,Romance,1996.0,Medium,Low,Medium,Medium,Low,Low,en,United States of America,Shirley MacLaine,Richard Benjamin
Straw Dogs,Drama,Thriller,2011.0,Medium,Low,Medium,Medium,Low,Low,en,United States of America,James Marsden,Rod Lurie
The Hoax,Comedy,Drama,2006.0,Medium,Low,Medium,Medium,Low,Low,en,United States of America,Richard Gere,Lasse Hallström
Stone Cold,Action,Crime,1991.0,Low,Low,Medium,Medium,Low,Low,en,United States of America,Brian Bosworth,Craig R. Baxley
The Road,Adventure,Drama,2009.0,Medium,Low,Medium,Medium,Medium,High,en,United States of America,Viggo Mortensen,John Hillcoat
Underclassman,Action,Comedy,2005.0,Low,Low,Medium,Medium,Low,Low,en,United States of America,Nick Cannon,Marcos Siega
Say It Isn't So,Comedy,Romance,2001.0,Medium,Low,Medium,Low,Low,Low,en,United States of America,Chris Klein,J.B. Rogers
Tank Girl,Action,Comedy,1995.0,Medium,Low,Medium,Medium,Low,Low,en,United States of America,Lori Petty,Rachel Talalay
King's Ransom,Comedy,Crime,2005.0,Low,Low,Medium,Medium,Low,Low,en,Canada,Anthony Anderson,Jeffrey W. Byrd
Blindness,Drama,Mystery,2008.0,Medium,Low,Medium,Medium,Low,Medium,en,Brazil,Julianne Moore,Fernando Meirelles
BloodRayne,Action,Adventure,2005.0,Medium,Low,Medium,Low,Low,Low,en,United States of America,Kristanna Loken,Uwe Boll
Carnage,Comedy,Drama,2011.0,Medium,Low,Short,High,Medium,Medium,en,Spain,Kate Winslet,Roman Polanski
Where the Truth Lies,Drama,Mystery,2005.0,Medium,Low,Medium,Medium,Low,Low,en,United States of America,Kevin Bacon,Atom Egoyan
Cirque du Soleil: Worlds Away,Fantasy,Family,2012.0,Low,Low,Medium,Medium,Low,Low,en,United States of America,Erica Linz,Andrew Adamson
Me and Orson Welles,Comedy,Drama,2009.0,Medium,Low,Medium,Medium,Low,Low,en,United States of America,Zac Efron,Richard Linklater
The Best Offer,Drama,Romance,2013.0,Medium,Low,Medium,High,Medium,High,en,Italy,Geoffrey Rush,Giuseppe Tornatore
The Bad Lieutenant: Port of Call - New Orleans,Drama,Crime,2009.0,Medium,Low,Medium,Medium,Low,Medium,en,United States of America,Nicolas Cage,Werner Herzog
A Turtle's Tale: Sammy's Adventures,Animation,Family,2010.0,Low,Low,Short,Medium,Low,Medium,en,France,Yuri Lowenthal,Ben Stassen
Little White Lies,Comedy,Drama,2010.0,Medium,Low,Long,High,Low,Medium,fr,France,François Cluzet,Guillaume Canet
The True Story of Puss 'n Boots,Family,Adventure,2009.0,Low,Low,Short,Low,Low,Low,fr,France,Jérôme Deschamps,Jérôme Deschamps
Space Dogs,Family,Animation,2010.0,Medium,Low,Short,Medium,Low,Low,ru,United States of America,Anna Bolshova,Inna Evlannikova
The Counselor,Thriller,Crime,2013.0,Medium,Medium,Medium,Medium,Medium,High,en,United Kingdom,Michael Fassbender,Ridley Scott
Ironclad,Romance,Adventure,2011.0,Medium,Low,Medium,Medium,Low,Medium,en,United Kingdom,James Purefoy,Jonathan English
Waterloo,History,Action,1970.0,Medium,Low,Medium,High,Low,Low,en,Italy,Rod Steiger,Sergey Bondarchuk
Kung Fu Jungle,Crime,Action,2014.0,Medium,Low,Medium,Medium,Low,Low,cn,Hong Kong,Donnie Yen,Teddy Chan
Red Sky,Action,Thriller,2014.0,Medium,Low,Medium,Low,Low,Low,en,Russia,Cam Gigandet,Mario Van Peebles
Dangerous Liaisons,Drama,Romance,1988.0,Medium,Low,Medium,High,Low,Medium,en,United Kingdom,Glenn Close,Stephen Frears
On the Road,Adventure,Drama,2012.0,Medium,Low,Medium,Medium,Low,Medium,en,Brazil,Garrett Hedlund,Walter Salles
Star Trek IV: The Voyage Home,Science Fiction,Adventure,1986.0,Medium,Medium,Medium,Medium,Low,Medium,en,United States of America,William Shatner,Leonard Nimoy
Scream 2,Horror,Mystery,1997.0,Medium,Medium,Medium,Medium,Medium,High,en,United States of America,David Arquette,Wes Craven
Jane Got a Gun,Action,Drama,2016.0,Medium,Low,Medium,Medium,Low,Medium,en,United States of America,Natalie Portman,Gavin O'Connor
Think Like a Man Too,Comedy,Romance,2014.0,Medium,Medium,Medium,Medium,Low,Medium,en,United States of America,Adam Brody,Tim Story
The Whole Nine Yards,Comedy,Crime,2000.0,Medium,Medium,Medium,Medium,Medium,Medium,en,Canada,Bruce Willis,Jonathan Lynn
Footloose,Drama,Family,1984.0,Low,Medium,Medium,Medium,Medium,Medium,en,United States of America,Kevin Bacon,Herbert Ross
The Fisher King,Comedy,Drama,1991.0,Medium,Low,Medium,High,Low,Medium,en,United States of America,Jeff Bridges,Terry Gilliam
I Still Know What You Did Last Summer,Horror,Mystery,1998.0,Medium,Low,Medium,Medium,Low,Medium,en,United States of America,Jennifer Love Hewitt,Danny Cannon
Return to Me,Romance,Comedy,2000.0,Medium,Low,Medium,Medium,Low,Low,en,United States of America,David Duchovny,Bonnie Hunt
Nurse Betty,Comedy,Crime,2000.0,Medium,Low,Medium,Medium,Low,Low,en,Germany,Renée Zellweger,Neil LaBute
The Men Who Stare at Goats,Comedy,War,2009.0,Medium,Medium,Medium,Medium,Medium,Medium,en,United Kingdom,George Clooney,Grant Heslov
Double Take,Adventure,Drama,2001.0,Low,Low,Short,Medium,Low,Low,en,United States of America,Orlando Jones,George Gallo
Win a Date with Tad Hamilton!,Comedy,Romance,2004.0,Medium,Low,Medium,Medium,Low,Low,en,United States of America,Josh Duhamel,Robert Luketic
Muppets from Space,Fantasy,Comedy,1999.0,Medium,Low,Short,Medium,Low,Low,en,United States of America,Steve Whitmire,Tim Hill
The Wiz,Adventure,Family,1978.0,Medium,Low,Medium,Medium,Low,Low,en,United States of America,Diana Ross,Sidney Lumet
Ready to Rumble,Action,Comedy,2000.0,Medium,Low,Medium,Low,Low,Low,en,United States of America,David Arquette,Brian Robbins
Play It to the Bone,Comedy,Drama,1999.0,Medium,Low,Medium,Medium,Low,Low,en,United States of America,Antonio Banderas,Ron Shelton
I Don't Know How She Does It,Romance,Comedy,2011.0,Medium,Low,Short,Medium,Low,Low,en,United States of America,Sarah Jessica Parker,Douglas McGrath
Piranha 3D,Comedy,Horror,2010.0,Medium,Medium,Short,Medium,Medium,Medium,en,United States of America,Elisabeth Shue,Alexandre Aja
Beyond the Sea,Drama,Music,2004.0,Medium,Low,Medium,Medium,Low,Low,en,Germany,Kevin Spacey,Kevin Spacey
The Thief and the Cobbler,Adventure,Fantasy,1993.0,Medium,Low,Short,Medium,Low,Low,en,United Kingdom,Vincent Price,Richard Williams
The Bridge of San Luis Rey,Romance,Drama,2004.0,Low,Low,Medium,Medium,Low,Low,en,Spain,Gabriel Byrne,Mary McGuckian
Faster,Crime,Drama,2010.0,Medium,Low,Medium,Medium,Medium,Medium,en,United States of America,Dwayne Johnson,"George Tillman, Jr."
Howl's Moving Castle,Fantasy,Animation,2004.0,Medium,Medium,Medium,High,Medium,High,ja,Japan,Takuya Kimura,Hayao Miyazaki
Zombieland,Comedy,Horror,2009.0,Medium,Medium,Short,High,High,High,en,United States of America,Jesse Eisenberg,Ruben Fleischer
The Empire Strikes Back,Adventure,Action,1980.0,Medium,High,Medium,High,High,High,en,United States of America,Mark Hamill,Irvin Kershner
Bad Boys,Action,Comedy,1995.0,Medium,Medium,Medium,Medium,Medium,High,en,United States of America,Will Smith,Michael Bay
The Naked Gun 2½: The Smell of Fear,Comedy,Crime,1991.0,Medium,Medium,Short,Medium,Medium,Medium,en,United States of America,Leslie Nielsen,David Zucker
Pitch Black,Thriller,Science Fiction,2000.0,Medium,Medium,Medium,Medium,Medium,Medium,en,United States of America,Vin Diesel,David Twohy
Someone Like You...,Comedy,Romance,2001.0,Medium,Low,Medium,Medium,Low,Low,en,United States of America,Ashley Judd,Tony Goldwyn
Her,Romance,Science Fiction,2013.0,Medium,Low,Medium,High,High,High,en,China,Joaquin Phoenix,Spike Jonze
Joy Ride,Mystery,Thriller,2001.0,Medium,Low,Medium,Medium,Low,Medium,en,United States of America,Steve Zahn,John Dahl
The Adventurer: The Curse of the Midas Box,Fantasy,Adventure,2013.0,Medium,Low,Medium,Medium,Low,Low,en,Belgium,Aneurin Barnard,Jonathan Newman
Anywhere But Here,Drama,Comedy,1999.0,Medium,Low,Medium,Medium,Low,Low,en,United States of America,Susan Sarandon,Wayne Wang
The Crew,Action,Comedy,2000.0,Low,Low,Short,Medium,Low,Low,en,United States of America,Richard Dreyfuss,Michael Dinner
Haywire,Action,Thriller,2011.0,Medium,Low,Medium,Medium,Medium,Medium,en,Ireland,Gina Carano,Steven Soderbergh
Jaws: The Revenge,Adventure,Thriller,1987.0,Medium,Medium,Short,Low,Low,Medium,en,United States of America,Lorraine Gary,Joseph Sargent
The Longshots,Drama,Family,2008.0,Low,Low,Medium,Medium,Low,Low,en,United States of America,Ice Cube,Fred Durst
Harley Davidson and the Marlboro Man,Action,Thriller,1991.0,Medium,Low,Medium,Medium,Low,Medium,en,United States of America,Mickey Rourke,Simon Wincer
In the Valley of Elah,History,Drama,2007.0,Medium,Low,Medium,Medium,Low,Medium,en,United States of America,Tommy Lee Jones,Paul Haggis
Coco Before Chanel,Drama,History,2009.0,Low,Low,Medium,Medium,Low,Low,fr,Belgium,Audrey Tautou,Anne Fontaine
Forsaken,Western,Drama,2015.0,Medium,Low,Medium,Medium,Low,Medium,en,Canada,Demi Moore,Jon Cassar
Cheri,Drama,Comedy,2009.0,Medium,Low,Short,Medium,Low,Low,en,Germany,Michelle Pfeiffer,Stephen Frears
Vanity Fair,Drama,Romance,2004.0,Medium,Low,Long,Medium,Low,Low,en,United Kingdom,Reese Witherspoon,Mira Nair
Bodyguards and Assassins,Drama,Action,2009.0,Medium,Low,Medium,Medium,Low,Low,cn,China,Donnie Yen,Teddy Chan
1408,Horror,Thriller,2007.0,Medium,Medium,Medium,Medium,Medium,High,en,United States of America,John Cusack,Mikael Håfström
